# Clinical EEG Sample (Simulated ds002721: Schizophrenia Profile)
# Higher Theta/Delta, Lower Alpha/Beta variance
# Fp1, Fp2, F3, F4 (simulated values in uV)
12.5, 11.8, 15.2, 14.9
13.1, 12.2, 16.0, 15.5
14.2, 13.5, 17.1, 16.8
12.8, 11.9, 15.5, 15.2
11.5, 10.8, 14.2, 13.9
10.2, 9.5, 13.0, 12.7
11.8, 11.1, 14.5, 14.2
13.5, 12.8, 16.2, 15.9
15.2, 14.5, 17.9, 17.6
16.5, 15.8, 19.2, 18.9
15.8, 15.1, 18.5, 18.2
14.2, 13.5, 16.9, 16.6
12.5, 11.8, 15.2, 14.9
11.2, 10.5, 13.9, 13.6
10.5, 9.8, 13.2, 12.9
11.8, 11.1, 14.5, 14.2
13.5, 12.8, 16.2, 15.9
14.8, 14.1, 17.5, 17.2
15.5, 14.8, 18.2, 17.9
14.2, 13.5, 16.9, 16.6
12.5, 11.8, 15.2, 14.9
11.2, 10.5, 13.9, 13.6
10.8, 10.1, 13.5, 13.2
12.2, 11.5, 14.9, 14.6
14.1, 13.4, 16.8, 16.5
15.8, 15.1, 18.5, 18.2
16.2, 15.5, 18.9, 18.6
15.1, 14.4, 17.8, 17.5
13.5, 12.8, 16.2, 15.9
11.8, 11.1, 14.5, 14.2
10.5, 9.8, 13.2, 12.9
10.2, 9.5, 12.9, 12.6
11.5, 10.8, 14.2, 13.9
13.2, 12.5, 15.9, 15.6
14.9, 14.2, 17.6, 17.3
15.8, 15.1, 18.5, 18.2
15.2, 14.5, 17.9, 17.6
13.8, 13.1, 16.5, 16.2
12.1, 11.4, 14.8, 14.5
10.8, 10.1, 13.5, 13.2
10.5, 9.8, 13.2, 12.9
11.2, 10.5, 13.9, 13.6
12.8, 12.1, 15.5, 15.2
14.5, 13.8, 17.2, 16.9
15.9, 15.2, 18.6, 18.3
16.5, 15.8, 19.2, 18.9
15.8, 15.1, 18.5, 18.2
14.2, 13.5, 16.9, 16.6
12.5, 11.8, 15.2, 14.9
11.2, 10.5, 13.9, 13.6
